hcp_id,hcp_name,city,specialty,loyalty_tier,potential_score,visits_per_month,post_visit_rx_lift_pct,priority_bucket,coverage_flag,assigned_rep_id,assigned_rep_name
428,Lohit Narula,Chennai,GP,Switcher,53,1.78,-10.011,Priority D,Appropriately-covered,49,Alka Wable
429,Ayaan Pandey,Chennai,GP,Competitor_Loyal,51,1.5,16.589,Priority C,Appropriately-covered,48,Kabir Soman
430,Kamala Bassi,Kolkata,Diabetologist,Competitor_Loyal,73,2.83,11.806363636363637,Priority B,Appropriately-covered,74,Tanay Rattan
431,Ekantika Kar,Chandigarh,Diabetologist,Switcher,21,11.78,8.005,Priority D,Over-covered,31,Theodore Devi
432,Janani Chada,Mumbai,Diabetologist,Brand_Loyal,94,2.33,7.828461538461538,Priority B,Appropriately-covered,94,Yash Pingle
433,Charvi Dara,Ahmedabad,Cardiologist,Brand_Loyal,33,2.33,-3.641428571428571,Priority D,Appropriately-covered,110,Shivansh Krish
434,Ekaja Jani,Bangalore,GP,Switcher,54,1.72,22.855,Priority C,Appropriately-covered,43,Ekiya Suresh
435,Samuel Luthra,Hyderabad,GP,Switcher,52,2.72,15.57888888888889,Priority C,Appropriately-covered,55,Victor Kannan
436,Pratyush Pant,Indore,GP,Switcher,23,4.17,-1.0499999999999998,Priority D,Over-covered,119,Udant Bajwa
437,Xalak Mallick,Indore,Cardiologist,Brand_Loyal,66,5.72,3.935,Priority B,Appropriately-covered,117,Tristan Iyengar
438,Dalaja Maharaj,Hyderabad,GP,Competitor_Loyal,44,1.67,30.9425,Priority C,Appropriately-covered,55,Victor Kannan
439,Warinder Peri,Jaipur,GP,Switcher,54,6.22,7.547142857142858,Priority D,Appropriately-covered,24,Daksh Karnik
440,Chasmum Keer,Mumbai,GP,Brand_Loyal,55,2.17,-0.3341666666666671,Priority D,Appropriately-covered,89,Karan Mital
441,Nidra Mishra,Chandigarh,GP,Competitor_Loyal,53,9.11,-5.636666666666667,Priority D,Appropriately-covered,29,Liam Koshy
442,Chakrika Bains,Delhi,Cardiologist,Switcher,33,1.33,13.696000000000002,Priority D,Appropriately-covered,4,Ayushman Chander
443,Upadhriti Bhat,Mumbai,GP,Competitor_Loyal,59,1.94,17.371538461538464,Priority C,Appropriately-covered,93,Kevin Palla
444,Nidra Sharaf,Bangalore,Diabetologist,Switcher,67,1.94,12.05909090909091,Priority B,Appropriately-covered,36,Advay Contractor
445,Jagvi Chokshi,Mumbai,Diabetologist,Switcher,48,1.22,21.091818181818184,Priority C,Appropriately-covered,92,Tanay Toor
446,Aadhya Jani,Bangalore,GP,Switcher,60,2.28,3.885454545454545,Priority B,Appropriately-covered,35,Upadhriti Wadhwa
447,Krisha Palla,Hyderabad,Cardiologist,Switcher,58,2.28,9.918888888888889,Priority D,Appropriately-covered,56,Ekavir Bhargava
448,Jhalak Dugar,Chennai,Cardiologist,Competitor_Loyal,71,1.89,-2.7119999999999997,Priority B,Appropriately-covered,45,Wriddhish Bhardwaj
449,Krish Munshi,Chennai,GP,Competitor_Loyal,81,2.61,-10.177,Priority B,Appropriately-covered,50,Siddharth Zacharia
450,Aadi Narula,Chennai,Cardiologist,Competitor_Loyal,56,2.67,-8.645,Priority D,Appropriately-covered,48,Kabir Soman
451,Netra Varkey,Delhi,Diabetologist,Competitor_Loyal,85,2.22,7.047499999999999,Priority B,Appropriately-covered,5,Viraj Tiwari
452,Ayush Banerjee,Patna,GP,Competitor_Loyal,40,2.83,17.965,Priority C,Appropriately-covered,83,Quincy Biswas
453,Ayaan D’Alia,Delhi,Cardiologist,Competitor_Loyal,50,1.5,13.871818181818185,Priority D,Appropriately-covered,8,Nathaniel Sami
454,Ria Gandhi,Kolkata,Cardiologist,Competitor_Loyal,68,3.39,-2.661818181818182,Priority B,Appropriately-covered,72,Girik Khalsa
455,Bhavya Bose,Ahmedabad,GP,Brand_Loyal,60,3.5,1.7985714285714285,Priority B,Appropriately-covered,112,Warjas Gaba
456,Radhika Bora,Kolkata,Diabetologist,Switcher,68,2.83,-8.740909090909092,Priority B,Appropriately-covered,70,Faqid Savant
457,Vivaan Walla,Lucknow,Diabetologist,Switcher,13,1.89,4.38625,Priority D,Appropriately-covered,15,Janaki Handa
458,Balendra Hans,Pune,GP,Switcher,62,3.78,7.28375,Priority B,Appropriately-covered,103,Aarush Nath
459,Anamika Sachar,Mumbai,Diabetologist,Switcher,61,2.5,-1.8066666666666673,Priority B,Appropriately-covered,95,Nakul Sarma
460,Ekta Sridhar,Bangalore,Cardiologist,Switcher,62,2.06,-4.623636363636364,Priority B,Appropriately-covered,35,Upadhriti Wadhwa
461,Ayush Gole,Delhi,Diabetologist,Competitor_Loyal,65,2.0,2.6590909090909096,Priority B,Appropriately-covered,6,Rushil Saini
462,Krishna Bhatnagar,Jaipur,GP,Switcher,51,4.72,26.04,Priority C,Appropriately-covered,23,Anamika Kanda
463,Girik Rau,Chennai,Diabetologist,Competitor_Loyal,67,2.33,4.247999999999999,Priority B,Appropriately-covered,48,Kabir Soman
464,Sathvik Sankar,Mumbai,Diabetologist,Competitor_Loyal,51,0.94,-13.885,Priority D,Appropriately-covered,90,Diya Bora
465,Ucchal Jani,Chandigarh,Cardiologist,Switcher,24,11.44,2.5533333333333332,Priority D,Over-covered,31,Theodore Devi
466,Harita Dugar,Delhi,Cardiologist,Brand_Loyal,83,1.94,4.3549999999999995,Priority B,Appropriately-covered,5,Viraj Tiwari
467,Triya Kumar,Delhi,GP,Competitor_Loyal,58,1.89,-3.311,Priority D,Appropriately-covered,9,Arunima Dugal
468,Chandani Brar,Hyderabad,Diabetologist,Switcher,29,1.83,-9.507777777777775,Priority D,Appropriately-covered,60,Kevin Solanki
469,Ethan Buch,Delhi,Cardiologist,Competitor_Loyal,67,2.33,3.522500000000001,Priority B,Appropriately-covered,11,Lajita Chatterjee
470,Lakshmi Pingle,Hyderabad,GP,Competitor_Loyal,61,2.83,3.3755555555555556,Priority B,Appropriately-covered,63,Irya Sampath
471,Yug Dhaliwal,Chandigarh,Diabetologist,Competitor_Loyal,44,9.5,-0.6433333333333326,Priority D,Over-covered,30,Priya Rastogi
472,Xalak Nazareth,Bangalore,Diabetologist,Brand_Loyal,67,1.94,8.302727272727273,Priority B,Appropriately-covered,36,Advay Contractor
473,Barkha Mukhopadhyay,Chennai,GP,Switcher,81,2.0,8.365,Priority B,Appropriately-covered,53,Jai Kota
474,Reva Anne,Kolkata,Cardiologist,Competitor_Loyal,73,2.22,5.597272727272728,Priority B,Appropriately-covered,73,Niharika Sunder
475,Zarna Sharma,Kolkata,Cardiologist,Switcher,60,2.22,0.6236363636363639,Priority B,Appropriately-covered,72,Girik Khalsa
476,Veda Handa,Bangalore,Diabetologist,Competitor_Loyal,64,1.39,-15.439090909090908,Priority B,Appropriately-covered,34,Devansh Rajan
477,Sanaya Prasad,Bangalore,Diabetologist,Brand_Loyal,65,2.17,1.275,Priority B,Appropriately-covered,37,Harini Choudhury
478,Warjas Tak,Chandigarh,Diabetologist,Brand_Loyal,45,10.11,2.76,Priority D,Over-covered,30,Priya Rastogi
479,Charles Dugal,Delhi,GP,Competitor_Loyal,80,2.89,0.2508333333333337,Priority B,Appropriately-covered,6,Rushil Saini
480,Laksh Iyer,Hyderabad,Diabetologist,Switcher,36,2.22,11.832222222222224,Priority D,Appropriately-covered,55,Victor Kannan
481,Ekani Padmanabhan,Mumbai,Diabetologist,Switcher,53,2.06,16.715,Priority C,Appropriately-covered,93,Kevin Palla
482,Chasmum Ahuja,Mumbai,Cardiologist,Switcher,56,2.11,10.231666666666667,Priority D,Appropriately-covered,89,Karan Mital
483,Odika Nori,Delhi,Diabetologist,Brand_Loyal,100,3.17,4.949166666666667,Priority B,Appropriately-covered,5,Viraj Tiwari
484,Janaki Trivedi,Jaipur,Cardiologist,Competitor_Loyal,59,6.17,6.6242857142857146,Priority D,Appropriately-covered,24,Daksh Karnik
485,Matthew Aurora,Patna,GP,Brand_Loyal,73,4.17,-0.5424999999999998,Priority B,Appropriately-covered,83,Quincy Biswas
486,Kamya Sachar,Mumbai,Cardiologist,Switcher,53,1.89,11.983636363636364,Priority D,Appropriately-covered,89,Karan Mital
487,Aditya Sundaram,Chennai,GP,Competitor_Loyal,69,2.17,9.638,Priority B,Appropriately-covered,49,Alka Wable
488,Baljiwan Bhandari,Lucknow,GP,Brand_Loyal,63,5.17,1.1925,Priority B,Appropriately-covered,17,Fariq Kaul
489,Sanaya Mani,Mumbai,GP,Brand_Loyal,68,2.5,-1.5200000000000005,Priority B,Appropriately-covered,89,Karan Mital
490,Rayaan Mangal,Jaipur,GP,Competitor_Loyal,86,5.67,2.7014285714285715,Priority B,Appropriately-covered,22,Nihal Shere
491,Bhavini Sundaram,Mumbai,Diabetologist,Competitor_Loyal,47,1.78,30.563333333333333,Priority C,Appropriately-covered,93,Kevin Palla
492,Daksha Gala,Chandigarh,Cardiologist,Brand_Loyal,50,9.11,2.745000000000001,Priority D,Appropriately-covered,31,Theodore Devi
493,Urvi Palan,Ahmedabad,GP,Brand_Loyal,39,1.67,6.855714285714285,Priority D,Appropriately-covered,112,Warjas Gaba
494,Sanya Wable,Bangalore,Diabetologist,Competitor_Loyal,68,2.39,-2.307272727272727,Priority B,Appropriately-covered,36,Advay Contractor
495,Aadi Sangha,Chennai,GP,Switcher,63,2.5,1.3422222222222215,Priority B,Appropriately-covered,54,Devansh Nigam
496,Harshil Munshi,Chennai,Diabetologist,Competitor_Loyal,47,2.06,0.2580000000000005,Priority D,Appropriately-covered,51,Devika Rastogi
497,Karan Vyas,Patna,GP,Switcher,51,3.67,12.3725,Priority D,Appropriately-covered,82,Dakshesh Trivedi
498,Ryan Das,Jaipur,Diabetologist,Competitor_Loyal,17,2.56,6.917142857142857,Priority D,Appropriately-covered,21,Ekbal Garg
499,Tarak Vohra,Mumbai,Diabetologist,Switcher,43,1.56,20.768,Priority C,Appropriately-covered,91,Tara Chaudhry
500,Vincent Ravel,Bangalore,GP,Switcher,36,1.33,1.044545454545455,Priority D,Appropriately-covered,34,Devansh Rajan
501,Qadim Narayanan,Mumbai,Diabetologist,Brand_Loyal,70,1.78,-2.272,Priority B,Appropriately-covered,93,Kevin Palla
502,Saumya Purohit,Bangalore,GP,Switcher,88,2.44,10.236363636363636,Priority B,Appropriately-covered,34,Devansh Rajan
503,Hemangini Sachdev,Hyderabad,Diabetologist,Brand_Loyal,73,2.39,1.8055555555555556,Priority B,Appropriately-covered,56,Ekavir Bhargava
504,Daksha Baria,Chennai,Diabetologist,Competitor_Loyal,86,2.61,-3.63,Priority B,Appropriately-covered,46,Farhan Chada
505,Dominic Dixit,Mumbai,GP,Switcher,58,1.89,12.7275,Priority D,Appropriately-covered,93,Kevin Palla
506,Bimala Manne,Ahmedabad,Diabetologist,Switcher,26,2.22,32.825714285714284,Priority C,Appropriately-covered,110,Shivansh Krish
507,Priya Gulati,Indore,GP,Switcher,27,4.0,0.0074999999999998,Priority D,Over-covered,120,Mohini Narasimhan
508,Farhan Raja,Delhi,Diabetologist,Switcher,65,1.89,4.596363636363637,Priority B,Appropriately-covered,10,Gayathri Chaudry
509,Vedhika Sabharwal,Ahmedabad,Cardiologist,Competitor_Loyal,67,3.0,9.489999999999998,Priority B,Appropriately-covered,110,Shivansh Krish
510,Hiral Rajan,Kochi,Cardiologist,Switcher,31,5.11,3.3266666666666667,Priority D,Over-covered,66,Ikbal Kothari
511,Upasna Lanka,Delhi,GP,Competitor_Loyal,70,2.5,-1.486666666666667,Priority B,Appropriately-covered,3,Gagan Sami
512,Nidhi Bail,Lucknow,Cardiologist,Competitor_Loyal,45,3.83,-6.035,Priority D,Over-covered,16,Chakradev Kari
513,Neelima Sarna,Bangalore,Diabetologist,Competitor_Loyal,52,1.78,56.114,Priority C,Appropriately-covered,42,Kashvi Edwin
514,Anthony Majumdar,Mumbai,GP,Switcher,84,2.33,-5.9023076923076925,Priority B,Appropriately-covered,96,Abhiram Mistry
515,Ranbir Bhatnagar,Ahmedabad,Cardiologist,Switcher,64,3.61,2.031428571428571,Priority B,Appropriately-covered,115,Amara Dutta
516,Indali Srinivas,Mumbai,Cardiologist,Brand_Loyal,34,1.39,3.8818181818181823,Priority D,Appropriately-covered,91,Tara Chaudhry
517,Deepa Nigam,Mumbai,Diabetologist,Competitor_Loyal,47,1.44,15.0,Priority D,Appropriately-covered,101,Zayan Behl
518,Devika Nair,Delhi,GP,Brand_Loyal,71,2.39,-0.6641666666666666,Priority B,Appropriately-covered,8,Nathaniel Sami
519,Chaitaly Bhagat,Mumbai,GP,Switcher,56,1.83,3.8516666666666666,Priority D,Appropriately-covered,97,Krish Lalla
520,Aadhya Raman,Pune,GP,Competitor_Loyal,36,1.39,18.0775,Priority C,Appropriately-covered,104,Adweta Edwin
521,Sanya Apte,Chennai,GP,Brand_Loyal,80,1.94,0.9670000000000002,Priority B,Appropriately-covered,54,Devansh Nigam
522,Amol Parikh,Jaipur,Cardiologist,Competitor_Loyal,72,4.39,4.747142857142856,Priority B,Appropriately-covered,24,Daksh Karnik
523,Gaurangi Wali,Ahmedabad,GP,Switcher,74,3.0,3.981428571428572,Priority B,Appropriately-covered,112,Warjas Gaba
524,Umang Yogi,Chennai,GP,Brand_Loyal,84,2.72,-7.140000000000001,Priority B,Appropriately-covered,47,Ekapad Walia
525,Om Naik,Chennai,Cardiologist,Switcher,63,2.33,6.718000000000001,Priority B,Appropriately-covered,47,Ekapad Walia
526,Manya Merchant,Chennai,Diabetologist,Competitor_Loyal,75,2.28,3.4659999999999997,Priority B,Appropriately-covered,48,Kabir Soman
527,Nandini Chandran,Bangalore,GP,Competitor_Loyal,70,1.89,4.690909090909091,Priority B,Appropriately-covered,37,Harini Choudhury
528,Gayathri Deep,Lucknow,Cardiologist,Brand_Loyal,49,4.72,7.98625,Priority D,Appropriately-covered,16,Chakradev Kari
529,Nidhi Rama,Hyderabad,Cardiologist,Brand_Loyal,40,2.0,-3.4312499999999995,Priority D,Appropriately-covered,56,Ekavir Bhargava
530,Hemangini Bahri,Patna,Cardiologist,Switcher,30,2.78,16.0825,Priority C,Appropriately-covered,81,Vansha Thakkar
531,Agastya Chakraborty,Hyderabad,GP,Brand_Loyal,55,2.5,9.383333333333333,Priority D,Appropriately-covered,57,Ekansh Balay
532,Amaira Ramanathan,Bhubaneswar,Diabetologist,Switcher,40,5.94,3.2575000000000003,Priority D,Over-covered,86,Oni Virk
533,Charvi Ravi,Delhi,Cardiologist,Brand_Loyal,59,1.89,-0.7718181818181816,Priority D,Appropriately-covered,1,Aryan Maharaj
534,William Mody,Chennai,Cardiologist,Competitor_Loyal,66,1.78,8.718,Priority B,Appropriately-covered,49,Alka Wable
535,Chatresh Mahajan,Ahmedabad,Diabetologist,Brand_Loyal,59,2.89,8.872857142857143,Priority D,Appropriately-covered,114,Gaurangi Sabharwal
536,Laban Chad,Mumbai,Cardiologist,Competitor_Loyal,82,2.44,14.044615384615383,Priority B,Appropriately-covered,92,Tanay Toor
537,Sarthak Bawa,Mumbai,Cardiologist,Switcher,57,2.0,4.691666666666666,Priority D,Appropriately-covered,89,Karan Mital
538,Shaurya Krish,Chennai,Cardiologist,Competitor_Loyal,53,2.39,-0.9270000000000004,Priority D,Appropriately-covered,47,Ekapad Walia
539,Yashodhara Ratti,Bangalore,Diabetologist,Competitor_Loyal,77,2.11,15.576363636363636,Priority A,Appropriately-covered,38,Radhika Dugar
540,Panini Kala,Indore,GP,Switcher,44,5.39,-4.2325,Priority D,Over-covered,117,Tristan Iyengar
541,Gautam Merchant,Delhi,GP,Competitor_Loyal,57,1.72,5.575555555555556,Priority D,Appropriately-covered,1,Aryan Maharaj
542,Qarin Jha,Ahmedabad,Diabetologist,Brand_Loyal,68,3.0,-0.9028571428571428,Priority B,Appropriately-covered,110,Shivansh Krish
543,Vasudha Tella,Mumbai,Diabetologist,Brand_Loyal,84,1.89,8.249090909090908,Priority B,Under-covered,90,Diya Bora
544,Rishi Menon,Kolkata,GP,Brand_Loyal,55,2.22,9.08909090909091,Priority D,Appropriately-covered,74,Tanay Rattan
545,Wyatt Lanka,Kolkata,GP,Competitor_Loyal,45,1.89,-7.047,Priority D,Appropriately-covered,74,Tanay Rattan
546,Kevin Gokhale,Kolkata,Diabetologist,Brand_Loyal,73,2.5,3.677272727272728,Priority B,Appropriately-covered,71,Chandresh Zachariah
547,Bachittar Sengupta,Chennai,GP,Competitor_Loyal,71,2.61,6.259,Priority B,Appropriately-covered,52,Raksha Varughese
548,Rushil Patel,Bhubaneswar,Diabetologist,Brand_Loyal,48,5.5,3.59,Priority D,Appropriately-covered,85,Yatin Baral
549,Ishita Desai,Bhubaneswar,GP,Switcher,49,6.56,3.7775,Priority D,Appropriately-covered,87,Advika Jayaraman
550,Liam Guha,Mumbai,GP,Switcher,61,2.17,5.56,Priority B,Appropriately-covered,93,Kevin Palla
551,Darsh Gill,Bangalore,Cardiologist,Switcher,41,1.06,-11.342857142857143,Priority D,Appropriately-covered,42,Kashvi Edwin
552,Ojasvi Bhatia,Delhi,GP,Switcher,43,1.78,6.453636363636364,Priority D,Appropriately-covered,7,Saumya Mall
553,Chandran Bumb,Delhi,GP,Switcher,52,1.56,7.031999999999999,Priority D,Appropriately-covered,1,Aryan Maharaj
554,Janaki Lad,Kolkata,Diabetologist,Switcher,66,2.06,-0.2100000000000001,Priority B,Appropriately-covered,70,Faqid Savant
555,Anusha Bath,Delhi,Cardiologist,Brand_Loyal,57,1.94,-0.625454545454545,Priority D,Appropriately-covered,2,Udant Dewan
556,Zaid Bahl,Chennai,GP,Brand_Loyal,73,2.5,5.024,Priority B,Appropriately-covered,54,Devansh Nigam
557,Gagan Vala,Ahmedabad,GP,Competitor_Loyal,63,3.44,11.252857142857142,Priority B,Appropriately-covered,116,Lavanya Barad
558,Xiti Chowdhury,Mumbai,Diabetologist,Competitor_Loyal,88,2.0,-0.5463636363636362,Priority B,Appropriately-covered,90,Diya Bora
559,Dhruv Rattan,Delhi,GP,Competitor_Loyal,92,2.39,-1.288333333333333,Priority B,Appropriately-covered,7,Saumya Mall
560,Sachi Toor,Mumbai,GP,Switcher,77,2.06,10.207499999999998,Priority B,Appropriately-covered,93,Kevin Palla
561,Ikbal Khatri,Bangalore,Cardiologist,Brand_Loyal,72,1.83,-23.218,Priority B,Under-covered,35,Upadhriti Wadhwa
562,Zinal Deshpande,Indore,Diabetologist,Switcher,26,4.33,5.145,Priority D,Over-covered,119,Udant Bajwa
563,Nihal Bhasin,Kolkata,Cardiologist,Switcher,59,2.06,9.233636363636364,Priority D,Appropriately-covered,71,Chandresh Zachariah
564,Noah Ben,Chennai,Diabetologist,Competitor_Loyal,79,2.39,3.576666666666666,Priority B,Appropriately-covered,52,Raksha Varughese
565,Fitan Tata,Bangalore,Diabetologist,Switcher,58,1.44,11.05909090909091,Priority D,Appropriately-covered,35,Upadhriti Wadhwa
566,Rachita Subramanian,Kochi,Diabetologist,Switcher,38,6.33,-0.8866666666666667,Priority D,Over-covered,69,Arya Shere
567,Dipta Pandya,Kolkata,GP,Competitor_Loyal,58,2.28,-15.578,Priority D,Appropriately-covered,80,Dipta Bhandari
568,Farhan Sharaf,Kochi,GP,Brand_Loyal,69,7.33,3.595,Priority B,Appropriately-covered,68,Logan Sami
569,Chaman Lalla,Hyderabad,Cardiologist,Switcher,33,1.83,-11.406666666666666,Priority D,Appropriately-covered,55,Victor Kannan
570,Kamala Biswas,Delhi,Diabetologist,Competitor_Loyal,61,2.11,0.9581818181818188,Priority B,Appropriately-covered,2,Udant Dewan
571,Netra Agrawal,Kolkata,Diabetologist,Competitor_Loyal,99,3.0,4.879090909090909,Priority B,Appropriately-covered,70,Faqid Savant
572,Pranit Kaul,Mumbai,GP,Brand_Loyal,42,1.89,3.936363636363636,Priority D,Appropriately-covered,96,Abhiram Mistry
573,Chatura Shenoy,Kolkata,Cardiologist,Switcher,45,1.56,0.425,Priority D,Appropriately-covered,78,Mohammed Gupta
574,Manan Sha,Indore,Diabetologist,Switcher,50,4.28,-4.324999999999999,Priority D,Appropriately-covered,119,Udant Bajwa
575,Samar Roy,Bangalore,Cardiologist,Switcher,21,1.56,77.943,Priority C,Appropriately-covered,42,Kashvi Edwin
576,Bimala Mitra,Kolkata,Diabetologist,Switcher,59,2.11,-3.247272727272727,Priority D,Appropriately-covered,72,Girik Khalsa
577,Parth Sahni,Bangalore,Cardiologist,Competitor_Loyal,55,2.11,2.760909090909091,Priority D,Appropriately-covered,44,Isaac Patil
578,Veer Chaudhry,Kolkata,GP,Switcher,42,2.17,7.36090909090909,Priority D,Appropriately-covered,76,Madhavi Lanka
579,Ekavir Kari,Kolkata,Cardiologist,Switcher,84,3.0,-0.88,Priority B,Appropriately-covered,76,Madhavi Lanka
580,Meghana Sarma,Indore,GP,Competitor_Loyal,30,3.39,10.0,Priority D,Over-covered,119,Udant Bajwa
581,Chandran Rastogi,Mumbai,Diabetologist,Competitor_Loyal,64,2.0,5.881818181818182,Priority B,Appropriately-covered,90,Diya Bora
582,Abhiram Swamy,Patna,Cardiologist,Switcher,53,3.39,-2.7699999999999996,Priority D,Appropriately-covered,83,Quincy Biswas
583,Ayushman Raja,Chennai,GP,Competitor_Loyal,59,2.56,6.456999999999999,Priority D,Appropriately-covered,49,Alka Wable
584,Bhavini Bose,Lucknow,GP,Switcher,73,5.39,-4.21125,Priority B,Appropriately-covered,19,Janya Gaba
585,Maanav Gola,Mumbai,GP,Competitor_Loyal,89,1.78,15.112727272727271,Priority A,Under-covered,93,Kevin Palla
586,Zarna Ram,Jaipur,Diabetologist,Switcher,37,3.89,-0.9371428571428572,Priority D,Over-covered,26,Dominic Kakar
587,Oliver Majumdar,Bhubaneswar,GP,Competitor_Loyal,30,5.83,9.035,Priority D,Over-covered,88,William Lanka
588,Netra Chanda,Kolkata,GP,Competitor_Loyal,68,2.83,8.973636363636365,Priority B,Appropriately-covered,75,Nitesh Raghavan
589,Dayita Shenoy,Lucknow,Diabetologist,Switcher,61,4.61,-1.99625,Priority B,Appropriately-covered,16,Chakradev Kari
590,Simon Bail,Delhi,Cardiologist,Brand_Loyal,74,2.28,-6.844166666666666,Priority B,Appropriately-covered,4,Ayushman Chander
591,Chatresh Oza,Mumbai,GP,Switcher,53,2.44,1.6909090909090916,Priority D,Appropriately-covered,91,Tara Chaudhry
592,Lakshit Rajagopal,Chennai,Diabetologist,Competitor_Loyal,81,2.78,-2.246,Priority B,Appropriately-covered,49,Alka Wable
593,Pranit Munshi,Pune,Cardiologist,Competitor_Loyal,50,2.67,3.2875000000000005,Priority D,Appropriately-covered,104,Adweta Edwin
594,Nidhi Kala,Kolkata,Diabetologist,Competitor_Loyal,76,2.5,9.881818181818184,Priority B,Appropriately-covered,70,Faqid Savant
595,Pooja Nazareth,Pune,GP,Brand_Loyal,70,2.5,1.2574999999999998,Priority B,Appropriately-covered,109,Janya Baral
596,Nathan Mukhopadhyay,Delhi,Diabetologist,Competitor_Loyal,64,1.83,17.468,Priority A,Appropriately-covered,3,Gagan Sami
597,Praneel Setty,Mumbai,Cardiologist,Switcher,31,1.61,29.830833333333334,Priority C,Appropriately-covered,95,Nakul Sarma
598,Chakrika Lad,Hyderabad,GP,Switcher,66,2.94,0.9222222222222224,Priority B,Appropriately-covered,62,Girindra Chatterjee
599,Girish Tiwari,Chennai,Cardiologist,Brand_Loyal,30,1.0,17.585714285714285,Priority C,Appropriately-covered,53,Jai Kota
600,Nandini Biswas,Chennai,GP,Brand_Loyal,67,2.0,-2.336666666666666,Priority B,Appropriately-covered,48,Kabir Soman
601,Hredhaan Kumar,Kochi,GP,Brand_Loyal,35,4.33,2.1133333333333337,Priority D,Over-covered,66,Ikbal Kothari
602,Krish Rama,Bangalore,Diabetologist,Switcher,73,1.44,2.7589999999999995,Priority B,Under-covered,43,Ekiya Suresh
603,Azad Saini,Bangalore,GP,Competitor_Loyal,69,1.94,1.1663636363636376,Priority B,Appropriately-covered,40,Yashica Cherian
604,Pallavi Pau,Kolkata,Diabetologist,Switcher,49,2.11,-3.42,Priority D,Appropriately-covered,74,Tanay Rattan
605,Bhavya Batta,Ahmedabad,Diabetologist,Switcher,70,3.39,2.2942857142857145,Priority B,Appropriately-covered,115,Amara Dutta
606,Shivani Merchant,Mumbai,Diabetologist,Switcher,57,1.5,-1.0163636363636364,Priority D,Appropriately-covered,96,Abhiram Mistry
607,Faris Raman,Ahmedabad,Diabetologist,Switcher,17,1.39,53.684285714285714,Priority C,Appropriately-covered,112,Warjas Gaba
608,Varenya Kade,Kolkata,Diabetologist,Switcher,36,1.83,3.6680000000000006,Priority D,Appropriately-covered,71,Chandresh Zachariah
609,Lajita Walia,Lucknow,Cardiologist,Brand_Loyal,50,5.0,1.34375,Priority D,Appropriately-covered,18,Lajita Mall
610,Turvi Sachdev,Mumbai,Diabetologist,Competitor_Loyal,97,2.44,7.686153846153847,Priority B,Appropriately-covered,92,Tanay Toor
611,Chandresh Chaudhry,Hyderabad,Cardiologist,Brand_Loyal,51,2.94,5.7988888888888885,Priority D,Appropriately-covered,63,Irya Sampath
612,Om Pandey,Bangalore,Diabetologist,Switcher,68,1.89,2.974545454545455,Priority B,Appropriately-covered,41,Yashica Issac
613,Devansh Lall,Kolkata,Diabetologist,Switcher,58,2.5,7.112727272727273,Priority D,Appropriately-covered,70,Faqid Savant
614,Nisha Vig,Pune,Diabetologist,Competitor_Loyal,52,3.11,1.9387500000000009,Priority D,Appropriately-covered,105,Prisha Andra
615,Nandini Chaudry,Indore,Cardiologist,Switcher,33,3.5,1.145,Priority D,Over-covered,120,Mohini Narasimhan
616,Prisha Nadig,Mumbai,Diabetologist,Switcher,47,1.28,9.425454545454544,Priority D,Appropriately-covered,90,Diya Bora
617,Sachi Rai,Hyderabad,Cardiologist,Switcher,90,2.17,-7.79125,Priority B,Appropriately-covered,58,Ekavir Varkey
618,Krish Vala,Kolkata,GP,Competitor_Loyal,27,1.61,0.643,Priority D,Appropriately-covered,70,Faqid Savant
619,Harshil D’Alia,Chennai,GP,Brand_Loyal,70,2.11,6.6240000000000006,Priority B,Appropriately-covered,52,Raksha Varughese
620,Inaya Kunda,Chennai,Cardiologist,Switcher,49,1.56,9.163333333333334,Priority D,Appropriately-covered,51,Devika Rastogi
621,Siddharth Ghose,Mumbai,Diabetologist,Switcher,46,1.67,17.123636363636365,Priority C,Appropriately-covered,90,Diya Bora
622,Ekansh Raja,Kolkata,Diabetologist,Competitor_Loyal,65,2.11,1.6681818181818182,Priority B,Appropriately-covered,72,Girik Khalsa
623,Kiaan Dhar,Chennai,Cardiologist,Competitor_Loyal,77,2.06,17.101,Priority A,Appropriately-covered,51,Devika Rastogi
624,Anay Thakkar,Bangalore,Diabetologist,Brand_Loyal,69,2.17,1.580909090909091,Priority B,Appropriately-covered,35,Upadhriti Wadhwa
625,Gabriel Taneja,Mumbai,GP,Brand_Loyal,83,2.39,5.53923076923077,Priority B,Appropriately-covered,90,Diya Bora
626,Saanvi Nagi,Hyderabad,Diabetologist,Brand_Loyal,42,1.89,13.984444444444442,Priority D,Appropriately-covered,62,Girindra Chatterjee
627,Anirudh Patla,Mumbai,Cardiologist,Brand_Loyal,56,1.44,4.430833333333333,Priority D,Appropriately-covered,90,Diya Bora
628,Ranveer Hans,Mumbai,GP,Competitor_Loyal,82,2.56,7.231666666666667,Priority B,Appropriately-covered,92,Tanay Toor
629,Brijesh Mani,Bangalore,GP,Competitor_Loyal,55,2.0,10.584545454545456,Priority D,Appropriately-covered,35,Upadhriti Wadhwa
630,Jagrati Choudhary,Mumbai,GP,Switcher,77,2.44,16.783333333333335,Priority A,Appropriately-covered,89,Karan Mital
631,Tanveer Vala,Lucknow,Diabetologist,Switcher,71,5.06,-0.59375,Priority B,Appropriately-covered,15,Janaki Handa
